,transaction_id,Member_number,Date,itemDescription,year,month,day,day_of_week
0,1,5000,2015-10-02,soda,2015,10,2,4
1,1,5000,2015-10-02,root vegetables,2015,10,2,4
2,1,5000,2015-10-02,semi-finished bread,2015,10,2,4
3,2,5000,2014-11-16,bottled beer,2014,11,16,6
4,2,5000,2014-11-16,other vegetables,2014,11,16,6
5,3,5000,2014-09-03,fruit/vegetable juice,2014,9,3,2
6,3,5000,2014-09-03,onions,2014,9,3,2
7,4,4999,2015-12-26,bottled water,2015,12,26,5
8,4,4999,2015-12-26,herbs,2015,12,26,5
9,5,4999,2015-05-16,butter milk,2015,5,16,5
10,5,4999,2015-05-16,whipped/sour cream,2015,5,16,5
11,6,4999,2015-02-18,berries,2015,2,18,2
12,6,4999,2015-02-18,onions,2015,2,18,2
13,7,4999,2015-01-24,tropical fruit,2015,1,24,5
14,7,4999,2015-01-24,berries,2015,1,24,5
15,7,4999,2015-01-24,other vegetables,2015,1,24,5
16,7,4999,2015-01-24,yogurt,2015,1,24,5
17,7,4999,2015-01-24,kitchen towels,2015,1,24,5
18,7,4999,2015-01-24,napkins,2015,1,24,5
19,8,4999,2014-09-04,semi-finished bread,2014,9,4,3
20,8,4999,2014-09-04,newspapers,2014,9,4,3
21,9,4999,2014-05-19,other vegetables,2014,5,19,0
22,9,4999,2014-05-19,detergent,2014,5,19,0
23,10,4998,2015-10-14,rolls/buns,2015,10,14,2
24,10,4998,2015-10-14,curd,2015,10,14,2
25,11,4997,2015-12-27,tropical fruit,2015,12,27,6
26,11,4997,2015-12-27,white wine,2015,12,27,6
27,11,4997,2015-12-27,curd,2015,12,27,6
28,11,4997,2015-12-27,grapes,2015,12,27,6
29,12,4997,2014-05-01,whole milk,2014,5,1,3
30,12,4997,2014-05-01,canned beer,2014,5,1,3
31,13,4996,2015-11-24,rolls/buns,2015,11,24,1
32,13,4996,2015-11-24,misc. beverages,2015,11,24,1
33,13,4996,2015-11-24,bottled water,2015,11,24,1
34,13,4996,2015-11-24,decalcifier,2015,11,24,1
35,13,4996,2015-11-24,semi-finished bread,2015,11,24,1
36,13,4996,2015-11-24,soda,2015,11,24,1
37,14,4996,2015-10-24,dessert,2015,10,24,5
38,14,4996,2015-10-24,bottled beer,2015,10,24,5
39,15,4996,2015-02-20,salty snack,2015,2,20,4
40,15,4996,2015-02-20,tropical fruit,2015,2,20,4
41,16,4995,2014-03-16,rice,2014,3,16,6
42,16,4995,2014-03-16,dish cleaner,2014,3,16,6
43,17,4995,2014-02-06,mayonnaise,2014,2,6,3
44,17,4995,2014-02-06,domestic eggs,2014,2,6,3
45,18,4994,2015-08-02,sausage,2015,8,2,6
46,18,4994,2015-08-02,fruit/vegetable juice,2015,8,2,6
47,19,4993,2015-09-02,citrus fruit,2015,9,2,2
48,19,4993,2015-09-02,UHT-milk,2015,9,2,2
49,20,4993,2015-01-21,chocolate,2015,1,21,2
50,20,4993,2015-01-21,brown bread,2015,1,21,2
51,21,4993,2014-08-19,tropical fruit,2014,8,19,1
52,21,4993,2014-08-19,detergent,2014,8,19,1
53,22,4993,2014-08-15,onions,2014,8,15,4
54,22,4993,2014-08-15,abrasive cleaner,2014,8,15,4
55,23,4993,2014-05-25,rolls/buns,2014,5,25,6
56,23,4993,2014-05-25,shopping bags,2014,5,25,6
57,24,4992,2015-06-20,whole milk,2015,6,20,5
58,24,4992,2015-06-20,other vegetables,2015,6,20,5
59,24,4992,2015-06-20,pip fruit,2015,6,20,5
60,24,4992,2015-06-20,sparkling wine,2015,6,20,5
61,25,4992,2015-05-23,canned beer,2015,5,23,5
62,25,4992,2015-05-23,napkins,2015,5,23,5
63,25,4992,2015-05-23,specialty bar,2015,5,23,5
64,26,4992,2015-01-03,frankfurter,2015,1,3,5
65,26,4992,2015-01-03,pip fruit,2015,1,3,5
66,27,4992,2014-02-24,margarine,2014,2,24,0
67,27,4992,2014-02-24,margarine,2014,2,24,0
68,28,4991,2014-12-22,other vegetables,2014,12,22,0
69,28,4991,2014-12-22,root vegetables,2014,12,22,0
70,29,4991,2014-08-28,whole milk,2014,8,28,3
71,29,4991,2014-08-28,other vegetables,2014,8,28,3
72,30,4991,2014-05-19,root vegetables,2014,5,19,0
73,30,4991,2014-05-19,shopping bags,2014,5,19,0
74,31,4991,2014-04-24,yogurt,2014,4,24,3
75,31,4991,2014-04-24,pasta,2014,4,24,3
76,32,4991,2014-01-20,processed cheese,2014,1,20,0
