daily_time_spent,age,avg_income,daily_internet_use,gender,timestamp,clicked_on_ad
68.95,35,61833.9,256.09,0,2016-03-27 00:53:11,0
80.23,31,68441.85,193.77,1,2016-04-04 01:39:02,0
69.47,26,59785.94,236.5,0,2016-03-13 20:35:42,0
74.15,29,54806.18,245.89,1,2016-01-10 02:31:19,0
68.37,35,73889.99,225.58,0,2016-06-03 03:36:18,0
59.99,23,59761.56,226.74,1,2016-05-19 14:30:17,0
88.91,33,53852.85,208.36,0,2016-01-28 20:59:32,0
66.0,48,24593.33,131.76,1,2016-03-07 01:40:15,1
74.53,30,68862.0,221.51,1,2016-04-18 09:33:42,0
69.88,20,55642.32,183.82,1,2016-07-11 01:42:51,0
47.64,49,45632.51,122.02,0,2016-03-16 20:19:01,1
83.07,37,62491.01,230.87,1,2016-05-08 08:10:10,0
69.57,48,51636.92,113.12,1,2016-06-03 01:14:41,1
79.52,24,51739.63,214.23,0,2016-04-20 21:49:22,0
42.95,33,30976.0,143.56,0,2016-03-24 09:31:49,1
63.45,23,52182.23,140.64,1,2016-03-09 03:41:30,1
55.39,37,23936.86,129.41,0,2016-01-30 19:20:41,1
82.03,41,71511.08,187.53,0,2016-05-02 07:00:58,0
54.7,36,31087.54,118.39,1,2016-02-13 07:53:55,1
74.58,40,23821.72,135.51,1,2016-02-27 04:43:07,1
77.22,30,64802.33,224.44,1,2016-01-05 07:52:48,0
84.59,35,60015.57,226.54,1,2016-03-18 13:22:35,0
41.49,52,32635.7,164.83,0,2016-05-20 08:49:33,1
87.29,36,61628.72,209.93,1,2016-03-23 09:43:43,0
41.39,41,68962.32,167.22,0,2016-06-13 17:27:09,1
78.74,28,64828.0,204.79,1,2016-05-27 15:25:52,0
48.53,28,38067.08,134.14,1,2016-02-08 10:46:14,1
51.95,52,58295.82,129.23,0,2016-07-19 08:32:10,1
70.2,34,32708.94,119.2,0,2016-04-14 05:08:35,1
76.02,22,46179.97,209.82,0,2016-01-27 12:38:16,0
67.64,35,51473.28,267.01,1,2016-07-02 20:23:15,0
86.41,28,45593.93,207.48,1,2016-03-01 22:13:37,0
59.05,57,25583.29,169.23,1,2016-07-15 05:05:14,1
55.6,23,30227.98,212.58,0,2016-01-14 14:00:09,1
57.64,57,45580.92,133.81,1,2016-03-15 03:12:25,1
84.37,30,61389.5,201.58,0,2016-04-12 03:26:39,0
62.26,53,56770.79,125.45,1,2016-04-07 15:18:10,1
65.82,39,76435.3,221.94,0,2016-02-09 05:28:18,0
50.43,46,57425.87,119.32,1,2016-05-07 17:11:49,1
38.93,39,27508.41,162.08,0,2016-03-11 06:49:10,1
84.98,29,57691.95,202.61,0,2016-04-27 09:27:58,0
64.24,30,59784.18,252.36,0,2016-04-16 11:53:43,0
82.52,32,66572.39,198.11,1,2016-05-08 15:38:46,0
81.38,31,64929.61,212.3,0,2016-02-08 00:23:38,0
80.47,25,57519.64,204.86,0,2016-02-11 13:26:22,0
37.68,52,53575.48,172.83,1,2016-02-17 13:16:33,1
69.62,20,50983.75,202.25,1,2016-02-26 22:46:43,0
85.4,43,67058.72,198.72,0,2016-06-08 18:54:01,0
44.33,37,52723.34,123.72,1,2016-01-08 09:32:26,1
48.01,46,54286.1,119.93,0,2016-04-25 11:01:54,1
73.18,23,61526.25,196.71,1,2016-04-04 07:07:46,0
79.94,28,58526.04,225.29,0,2016-05-03 21:19:58,0
33.33,45,53350.11,193.58,1,2016-01-17 09:31:36,1
50.33,50,62657.53,133.2,1,2016-03-02 04:57:51,1
62.31,47,62722.57,119.3,0,2016-02-14 07:36:58,1
80.6,31,67479.62,177.55,0,2016-04-07 03:56:16,0
65.19,36,75254.88,150.61,0,2016-02-17 11:42:00,1
44.98,49,52336.64,129.31,0,2016-04-10 00:13:47,1
77.63,29,56113.37,239.22,0,2016-02-14 17:05:15,0
41.82,41,24852.9,156.36,0,2016-05-26 22:49:47,1
85.61,27,47708.42,183.43,0,2016-04-30 08:07:13,0
